Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Italy,1748728953,1711848209,1348720759,1391532857,1381059786,2353209588,1912428942,2039585382,2254429039,2908115494,2533827196,2803289802,2765040978,2307683068,1540162104,1788474047,1928425066,1918917590,1721896662,1322701631,1076221026,1133162300,1682783432,1617831471,1407141583,1243568970,1496091337,1887082489,2088854827
Jamaica,123789,145152,52734,138224,100051,34165,79141,51690,344930,69326,187286,176308,158846,4758816,153785,96238,76098,141835,162501,61676,827224,158925,375281,97206,251506,64940,48474,218177,178749
Japan,28967456238,24632649295,22584353075,19191913891,22415655495,30214568635,21726186795,22939986258,26165025170,30090349494,29143791552,31089543409,34761547304,33321125539,26941778350,33864840262,31863916983,30412944870,26763959769,25657040030,23858630266,24273807928,29983947229,29269171379,28286515170,29264876727,33926364858,33397515232,30778417485
Jordan,181126,40001,295420,108599,763323,1913723,2985441,1909374,1117253,2493887,3336942,915836,1212547,529146,312432,1130031,126127,533517,148859,1345669,350084,188826,209482,145505,366177,446956,331478,1860726,3501782
Kazakhstan,64274,22803,47179,0,3352,7214509,108833,417161,373803,682657,749523,793934,1629283,136943,747478,237354,604610,1867433,2593150,1438096,534943,1861224,761868,705179,855451,622204,897351,22471536,19482592
Kenya,1150058,3079752,550535,570864,4525115,5838760,1376106,2655306,1256811,1656185,1169676,1452950,1082480,4227825,1879798,2860108,2113484,2829465,1572363,814554,966937,6050899,4459095,679944,3225517,948271,1167352,19800271,3047051
Kiribati,0,0,1014,0,65790,61437,21195,138194,2397,58103,25953,10724,77547,21796,1112,0,8147,2170,49215,0,8903,0,8533,0,20696,0,3921,21921,24859
Kuwait,177093,214831,31752,35794,925591,70116,503277,60673,77544,35063,625019,696852,1193280,492402,712450,134142,1054851,54620,217045,1013670,341253,356069,461640,369731,411547,749094,225228,460161,3724856
Kyrgyzstan,304651,82415,33624,40184,27180,2062,7716,46227,20393,60119,935734,368637,89957,56914,184482,241547,198310,176679,95073,26108,16688,149583,110935,39341,32155,380252,33662,1511294,14739533
Laos,0,0,19868,113515,0,9528,0,0,0,10469,1474,41964,5850,31480,116900,212338,19287,0,9314,34737,62441,86180,268719,1463112,1305492,496186,158169,1062333,1021387
Latvia,1206152,983590,3546441,2480093,4701410,2262431,1876030,1582776,2492503,5402002,9063941,28665316,18022540,14328900,9731674,9044115,13679511,16640242,24746138,24058817,34973287,30934038,29249183,24748854,34174795,40683846,118534283,103299194,79823208
